name,model_type,model_id,revision,class_weight,C,negative_threshold,cv_macro_f1_mean,cv_macro_f1_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_accuracy_mean,cv_accuracy_std,oof_macro_f1,oof_balanced_accuracy,oof_accuracy,negative_precision,negative_recall,negative_f1,per_class_json,confusion_matrix_json,fit_seconds,dutch_rows,dutch_macro_f1,dutch_accuracy,dutch_negative_recall,english_rows,english_macro_f1,english_accuracy,english_negative_recall,decision_rule,ordinal_mae,quadratic_weighted_kappa,adjacent_error_rate,severe_error_rate,probability_evidence_json,cache_hit,cache_path,cache_sha256,encode_seconds,embedding_dimension,max_sequence_length,encoding_device,encoding_dtype,calibration,deployment_lower_threshold,deployment_upper_threshold
official_tfidf_baseline,tfidf_word_char_logreg,official_combined_balanced_ratings,submission-v1,balanced,1.0,argmax,0.6472435121804612,0.026896847313233052,0.6220104714742598,0.029208190382907572,0.6698809620817036,0.010441222922883816,0.6484564362831063,0.6220114569822741,0.6698801459093278,0.7333333333333333,0.5041666666666667,0.5975308641975309,"{""Average"": {""f1-score"": 0.6731866340668297, ""precision"": 0.6583421891604676, ""recall"": 0.688715953307393, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.5975308641975309, ""precision"": 0.7333333333333333, ""recall"": 0.5041666666666667, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.6746518105849583, ""precision"": 0.6761585706309324, ""recall"": 0.6731517509727627, ""support"": 1799.0}}","[[1211, 569, 19], [535, 1239, 25], [45, 74, 121]]",81.35724741000001,3450.0,0.6524100900134808,0.6715942028985508,0.521551724137931,388.0,0.28278167522011394,0.654639175257732,0.0,,,,,,,,,,,,,,,,,
jina_v3_classification__multiclass_balanced_C_0.5,jina_embedding_multiclass_logistic,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,balanced,0.5,,0.701379474331054,0.015190439256440775,0.7641416486124007,0.01774814077539257,0.6988035093437635,0.01122713793692678,0.7013200700980478,0.7641421159903651,0.6988014590932777,0.5736434108527132,0.925,0.7081339712918661,"{""Average"": {""f1-score"": 0.6837606837606838, ""precision"": 0.701344243132671, ""recall"": 0.6670372429127293, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.7081339712918661, ""precision"": 0.5736434108527132, ""recall"": 0.925, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7120655552415937, ""precision"": 0.7241379310344828, ""recall"": 0.7003891050583657, ""support"": 1799.0}}","[[1260, 496, 43], [477, 1200, 122], [3, 15, 222]]",1.4724171790001037,3450.0,0.7047213438929677,0.7,0.9224137931034483,388.0,0.620935960591133,0.6881443298969072,1.0,argmax,0.3131839499739448,0.5780645334496018,0.28921313183949976,0.011985409067222511,{},False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.202559845,512.0,1024.0,cuda,float16,,,
jina_v3_classification__multiclass_balanced_C_1,jina_embedding_multiclass_logistic,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,balanced,1.0,,0.7071374493277343,0.011433289031653273,0.7650717012276901,0.013500093433548471,0.7034930465015211,0.007375823065728996,0.7070926378363307,0.7650701006732135,0.7034914017717562,0.5882352941176471,0.9166666666666666,0.7166123778501629,"{""Average"": {""f1-score"": 0.6897334089619966, ""precision"": 0.704111175448755, ""recall"": 0.6759310728182324, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.7166123778501629, ""precision"": 0.5882352941176471, ""recall"": 0.9166666666666666, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7149321266968326, ""precision"": 0.7276914219919401, ""recall"": 0.7026125625347415, ""support"": 1799.0}}","[[1264, 495, 40], [469, 1216, 114], [4, 16, 220]]",2.836004202999902,3450.0,0.7086538455279054,0.7028985507246377,0.9137931034482759,388.0,0.6413533834586467,0.7087628865979382,1.0,argmax,0.30797290255341325,0.5826069591824397,0.2850442939030745,0.011464304325169358,{},False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.202559845,512.0,1024.0,cuda,float16,,,
jina_v3_classification__multiclass_balanced_C_2,jina_embedding_multiclass_logistic,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,balanced,2.0,,0.7072267989790564,0.011494432706881655,0.7609955638089343,0.014113248602499134,0.7011486174489352,0.005863146376882801,0.7071904503357559,0.7609953060342166,0.7011464304325169,0.6005509641873278,0.9083333333333333,0.7230514096185738,"{""Average"": {""f1-score"": 0.6870574907958086, ""precision"": 0.7003464203233256, ""recall"": 0.6742634797109506, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.7230514096185738, ""precision"": 0.6005509641873278, ""recall"": 0.9083333333333333, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7114624505928854, ""precision"": 0.7228915662650602, ""recall"": 0.7003891050583657, ""support"": 1799.0}}","[[1260, 501, 38], [479, 1213, 107], [4, 18, 218]]",3.1881978119999985,3450.0,0.7068088347010617,0.6988405797101449,0.9051724137931034,388.0,0.6565608792195404,0.7216494845360825,1.0,argmax,0.3097967691505993,0.5790183591296323,0.28791036998436687,0.010943199583116207,{},False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.202559845,512.0,1024.0,cuda,float16,,,
jina_v3_classification__ordinal_composed_argmax_C_0.5,jina_embedding_two_boundary_ordinal_logistic,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,balanced,0.5,,0.7215065044270107,0.016231203724361747,0.7146092541008976,0.021763324579858943,0.6985407159930465,0.009641049136154493,0.7218116082251069,0.7146091964671731,0.6985409067222512,0.8044444444444444,0.7541666666666667,0.7784946236559139,"{""Average"": {""f1-score"": 0.685510428100988, ""precision"": 0.6769647696476965, ""recall"": 0.6942745969983324, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.7784946236559139, ""precision"": 0.8044444444444444, ""recall"": 0.7541666666666667, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7014297729184188, ""precision"": 0.707579185520362, ""recall"": 0.6953863257365203, ""support"": 1799.0}}","[[1251, 538, 10], [516, 1249, 34], [1, 58, 181]]",1.5066670539999905,3450.0,0.7252510003111099,0.7017391304347826,0.75,388.0,0.663497478945703,0.6701030927835051,0.875,composed_probability_argmax,0.3043251693590412,0.5717056920544401,0.2985930171964565,0.0028660760812923396,"{""mean_violation_gap"": 0.0009669766143269957, ""violation_rate"": 0.015633142261594582}",False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.202559845,512.0,1024.0,cuda,float16,sigmoid,,
jina_v3_classification__ordinal_crossfit_threshold_C_0.5,jina_embedding_two_boundary_ordinal_logistic,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,balanced,0.5,,0.7182852609339166,0.01915750384360594,0.7080336325183121,0.023086703094468277,0.6943726912212081,0.011595811344778927,0.7185669018640269,0.7080337842010994,0.6943720687858259,0.8165137614678899,0.7416666666666667,0.777292576419214,"{""Average"": {""f1-score"": 0.6855753646677472, ""precision"": 0.6668418286915396, ""recall"": 0.7053918843802113, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.777292576419214, ""precision"": 0.8165137614678899, ""recall"": 0.7416666666666667, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.6928327645051194, ""precision"": 0.7093768200349446, ""recall"": 0.6770428015564203, ""support"": 1799.0}}","[[1218, 572, 9], [499, 1269, 31], [0, 62, 178]]",1.5066670539999905,3450.0,0.7213852088480958,0.6965217391304348,0.7370689655172413,388.0,0.6663473957653069,0.6752577319587629,0.875,cross_fitted_boundary_thresholds,0.30797290255341325,0.5646193680855106,0.30328295987493487,0.002344971339239187,"{""mean_violation_gap"": 0.0009669766143269957, ""ordered_labels"": [""Negative"", ""Average"", ""Positive""], ""thresholds_by_fold"": [{""fold"": 0.0, ""lower_threshold"": 0.55, ""upper_threshold"": 0.5}, {""fold"": 1.0, ""lower_threshold"": 0.55, ""upper_threshold"": 0.55}, {""fold"": 2.0, ""lower_threshold"": 0.5, ""upper_threshold"": 0.5}, {""fold"": 3.0, ""lower_threshold"": 0.5, ""upper_threshold"": 0.5}, {""fold"": 4.0, ""lower_threshold"": 0.45, ""upper_threshold"": 0.5}], ""violation_rate"": 0.015633142261594582}",False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.202559845,512.0,1024.0,cuda,float16,sigmoid,0.55,0.5
jina_v3_classification__ordinal_composed_argmax_C_1,jina_embedding_two_boundary_ordinal_logistic,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,balanced,1.0,,0.7250005970155405,0.01448239944000065,0.7185017538429794,0.018638417316165036,0.7040142193611473,0.006638381525044589,0.725206191724971,0.7185002470508307,0.7040125065138093,0.8008849557522124,0.7541666666666667,0.776824034334764,"{""Average"": {""f1-score"": 0.6925814399124007, ""precision"": 0.6823085221143473, ""recall"": 0.7031684269038355, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.776824034334764, ""precision"": 0.8008849557522124, ""recall"": 0.7541666666666667, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7062131009277481, ""precision"": 0.714448236632537, ""recall"": 0.69816564758199, ""support"": 1799.0}}","[[1256, 532, 11], [500, 1265, 34], [2, 57, 181]]",1.5708343050000622,3450.0,0.7284516150606671,0.7069565217391305,0.75,388.0,0.6666666666666666,0.6778350515463918,0.875,composed_probability_argmax,0.29937467430953624,0.5770946831893249,0.29260031266284525,0.0033871808233454925,"{""mean_violation_gap"": 0.001387420426383126, ""violation_rate"": 0.01797811360083377}",False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.202559845,512.0,1024.0,cuda,float16,sigmoid,,
jina_v3_classification__ordinal_crossfit_threshold_C_1,jina_embedding_two_boundary_ordinal_logistic,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,balanced,1.0,,0.7277249221376931,0.015078594793757718,0.7176673888373052,0.017348521281164382,0.7045340341156019,0.006895315007683084,0.727814065256132,0.7176672225310359,0.7045336112558624,0.821917808219178,0.75,0.7843137254901961,"{""Average"": {""f1-score"": 0.6937108630547236, ""precision"": 0.67982924226254, ""recall"": 0.708171206225681, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.7843137254901961, ""precision"": 0.821917808219178, ""recall"": 0.75, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7054176072234764, ""precision"": 0.7163323782234957, ""recall"": 0.6948304613674263, ""support"": 1799.0}}","[[1250, 540, 9], [495, 1274, 30], [0, 60, 180]]",1.5708343050000622,3450.0,0.731256391664988,0.707536231884058,0.7456896551724138,388.0,0.6666666666666666,0.6778350515463918,0.875,cross_fitted_boundary_thresholds,0.2978113600833768,0.5798462412613293,0.2931214174048984,0.002344971339239187,"{""mean_violation_gap"": 0.001387420426383126, ""ordered_labels"": [""Negative"", ""Average"", ""Positive""], ""thresholds_by_fold"": [{""fold"": 0.0, ""lower_threshold"": 0.5, ""upper_threshold"": 0.5}, {""fold"": 1.0, ""lower_threshold"": 0.55, ""upper_threshold"": 0.5}, {""fold"": 2.0, ""lower_threshold"": 0.55, ""upper_threshold"": 0.5}, {""fold"": 3.0, ""lower_threshold"": 0.55, ""upper_threshold"": 0.5}, {""fold"": 4.0, ""lower_threshold"": 0.55, ""upper_threshold"": 0.5}], ""violation_rate"": 0.01797811360083377}",False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.202559845,512.0,1024.0,cuda,float16,sigmoid,0.55,0.5
jina_v3_classification__ordinal_composed_argmax_C_2,jina_embedding_two_boundary_ordinal_logistic,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,balanced,2.0,,0.7298708496491111,0.008323019931998991,0.7228551532033427,0.014762312356275955,0.7084423212733594,0.006057886348534695,0.7300871241691119,0.7228537459082206,0.708441896821261,0.8088888888888889,0.7583333333333333,0.7827956989247312,"{""Average"": {""f1-score"": 0.6981698989347173, ""precision"": 0.686358754027927, ""recall"": 0.7103946637020567, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.7827956989247312, ""precision"": 0.8088888888888889, ""recall"": 0.7583333333333333, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7092957746478873, ""precision"": 0.7190177041690463, ""recall"": 0.6998332406892718, ""support"": 1799.0}}","[[1259, 528, 12], [490, 1278, 31], [2, 56, 182]]",2.17747159999999,3450.0,0.7309628749331271,0.7086956521739131,0.7543103448275862,388.0,0.6938034188034189,0.7061855670103093,0.875,composed_probability_argmax,0.295205836373111,0.5816629429351842,0.28791036998436687,0.0036477331943720686,"{""mean_violation_gap"": 0.0018037912472900226, ""violation_rate"": 0.020062532569046377}",False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.202559845,512.0,1024.0,cuda,float16,sigmoid,,
jina_v3_classification__ordinal_crossfit_threshold_C_2,jina_embedding_two_boundary_ordinal_logistic,jinaai/jina-embeddings-v3,ab036b023d30b4d1138c4c3bfa9f0c445ab455d6,balanced,2.0,,0.7289411150430457,0.012236136393935518,0.7159096770865573,0.02164486401042863,0.7071392193611473,0.006128707245495887,0.7293836963131067,0.7159093014637762,0.7071391349661282,0.8349056603773585,0.7375,0.7831858407079646,"{""Average"": {""f1-score"": 0.6975861133713046, ""precision"": 0.6811440677966102, ""recall"": 0.7148415786548082, ""support"": 1799.0}, ""Negative"": {""f1-score"": 0.7831858407079646, ""precision"": 0.8349056603773585, ""recall"": 0.7375, ""support"": 240.0}, ""Positive"": {""f1-score"": 0.7073791348600509, ""precision"": 0.7197928653624857, ""recall"": 0.6953863257365203, ""support"": 1799.0}}","[[1251, 539, 9], [487, 1286, 26], [0, 63, 177]]",2.17747159999999,3450.0,0.7302507796426349,0.7072463768115942,0.7327586206896551,388.0,0.6938034188034189,0.7061855670103093,0.875,cross_fitted_boundary_thresholds,0.295205836373111,0.5813440356704134,0.2905158936946326,0.002344971339239187,"{""mean_violation_gap"": 0.0018037912472900226, ""ordered_labels"": [""Negative"", ""Average"", ""Positive""], ""thresholds_by_fold"": [{""fold"": 0.0, ""lower_threshold"": 0.55, ""upper_threshold"": 0.5}, {""fold"": 1.0, ""lower_threshold"": 0.5, ""upper_threshold"": 0.5}, {""fold"": 2.0, ""lower_threshold"": 0.55, ""upper_threshold"": 0.5}, {""fold"": 3.0, ""lower_threshold"": 0.55, ""upper_threshold"": 0.5}, {""fold"": 4.0, ""lower_threshold"": 0.55, ""upper_threshold"": 0.5}], ""violation_rate"": 0.020062532569046377}",False,.cache/jina_embeddings/jina_v3_classification-d46b691072b924ab.npz,02869cc7b715bd2961d39ccdef1be9c8d22ad9309d483dba92b7e66d3881f6ed,192.202559845,512.0,1024.0,cuda,float16,sigmoid,0.55,0.5
